lettre	fichier	iiif
CAC_ED_larochelle-bm-ms813-f118	CAC_ED_larochelle-bm-ms813-f118.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ea854009/530146e519abd6e287e5995570f561882b7b85ff/full/full/0/default.jpg
CAC_ED_nantes-labouchère-ms-820-51	CAC_ED_nantes-labouchère-ms-820-51-i01.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ccceg7o7/c86aa01731cc6b7ffc337bf4572d88897bd7267d/full/full/0/default.jpg
CAC_ED_nantes-labouchère-ms-820-51	CAC_ED_nantes-labouchère-ms-820-51-i02.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ccceg7o7/a03141d82809e74322467cfa6c9f823b30d72747/full/full/0/default.jpg
CAC_ED_bordeaux-am-ms918-f77	FRABM243300316_BORDEAUX_MS_0918_P077_01_B.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.eafepgk7/551b880b65e2581c9acd5efc8277fb57e73bbbdd/full/full/0/default.jpg
CAC_ED_bordeaux-am-ms918-f77	CAC_ED_bordeaux-am-ms918-f77-1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eafepgk7/cb693644e5d3c130b5d982a71d2a5dadc14e296c/full/full/0/default.jpg
CAC_ED_bordeaux-am-ms918-f77	CAC_ED_bordeaux-am-ms918-f77-2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eafepgk7/628f665f40d8a974c434266e6135ad02cb4d8843/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47b	OTM hs Dz 47 b_001.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.f3bb255m/8a916ed52fbd0aaaf46b921e886492cf81e4ed61/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47b	OTM hs Dz 47 b_002.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.f3bb255m/de69585e3202735d3c50ed3e8fde45f7eb1f8426/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47a	OTM hs Dz 47 a_002.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.6cb2wtu4/c83ff2364c58272cf60eebec6561323ab4a58583/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47a	OTM hs Dz 47 a_001.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.6cb2wtu4/ff9fc9b1a015b0ab1757a3313140c16bced56a55/full/full/0/default.jpg
CAC_ED_amsterdam-bu-43bt2	OTM hs 43 Bt 2.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.d351ya68/8e32132019ed09ea0dc0e953fe7d48d4ba40cc7d/full/full/0/default.jpg
CAC_ED_amsterdam-bu-cp37c	OTM hs Cp 37 c_001.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.d267r28t/2ee355188b800ee7bfd71b82c3cb42f2ab1e57dc/full/full/0/default.jpg
CAC_ED_amsterdam-bu-cp37c	OTM hs Cp 37 c_002.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.d267r28t/56199a9a6559685df481f3787180c8c3e9eee6e7/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-01	2 Num i 03792 - 2 J 187 piece 1 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.7cb1gfgr/8c20b22d71e9c559a04a40782560431a46f0f8c2/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-01	2 Num i 03793 - 2 J 187 piece 1 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.7cb1gfgr/46e7cf710d728f15da33cb6e03ae969720d2f07e/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03796 - 2 J 187 piece 2 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/d7877e42ce87e67e0207fa5472cfc8c1faaa0232/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03797 - 2 J 187 piece 2 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/829407f804280c239215504f9e857c614624cbcf/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03795 - 2 J 187 piece 2 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/c8779cf737c23b78383f1e505e444213cea411fb/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03794 - 2 J 187 piece 2 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/d1210c9bbca24cfdb45bfa6809acce5933176642/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-03	2 Num i 03799 - 2 J 187 piece 3 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.29f437ib/aa595d37f0d4b47c78b78dc0dd7588f76f6c9859/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-03	2 Num i 03798 - 2 J 187 piece 3 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.29f437ib/dcf55b941cbd3b325722a8c0d8078f4832bb216d/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-04	2 Num i 03800 - 2 J 187 piece 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.447fd8f9/56c87e247ebcaa24eee5d68561ecabaf519c745f/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-05	2 Num i 03801 - 2 J 187 piece 5.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.807dlk1p/5cbac4d678995bfcd13f3b6a88ae990acc213ae1/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-06	2 Num i 03802 - 2 J 187 piece 6 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.9efczfap/769117d4c2e2850ca899b872bb5ddbdc379317a1/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-06	2 Num i 03804 - 2 J 187 piece 6 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.9efczfap/4bfdc7568e43020a1c7e52b5712b1f2226661f99/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-06	2 Num i 03803 - 2 J 187 piece 6 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.9efczfap/bcefd6e6c4416f613c865933b246f36e83ae4623/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-07	2 Num i 03811 - 2 J 187 piece 7 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eabdb80f/53f0e35666ca3d417af3df693f0ee978eba36ddf/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-07	2 Num i 03814 - 2 J 187 piece 7 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eabdb80f/fd1065068b39bf4cbf5a5ecfe60c108630eae1ee/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-07	2 Num i 03813 - 2 J 187 piece 7 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eabdb80f/c134a1b6a8acdee484d53033a0e7dbf5dc0f2afe/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-07	2 Num i 03812 - 2 J 187 piece 7 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eabdb80f/59cc6f40e7249f7a07ebe2774651c9a4f67051f3/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-08	2 Num i 03815 - 2 J 187 piece 8 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f1d5js8t/528f1759926a0d2c2bbac2a2f08835a35eed5b66/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-08	2 Num i 03818 - 2 J 187 piece 8 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f1d5js8t/41179eb4b06a01c5cd1ee165fa3ab57a8bf93213/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-08	2 Num i 03816 - 2 J 187 piece 8 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f1d5js8t/6d4aa6152de66f8a3cbaa88a2c89191d69fdfe9a/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-08	2 Num i 03817 - 2 J 187 piece 8 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f1d5js8t/183381e36c4ef0d7473ee94ebe89c684b7e90847/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-09	2 Num i 03822 - 2 J 187 piece 9 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.10ff1t2a/6227958397008c488f58cbcd2843cc6ba04be72f/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-09	2 Num i 03823 - 2 J 187 piece 9 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.10ff1t2a/793879d6423b03a5e5b97b272fe9af3035f63d87/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-09	2 Num i 03821 - 2 J 187 piece 9 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.10ff1t2a/29653d539a7a663f6366d3b46a3c6c645b876edc/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-09	2 Num i 03820 - 2 J 187 piece 9 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.10ff1t2a/794bc03e38ba6ad6ed957680ef713b5b10c813dd/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-10	2 Num i 03824 - 2 J 187 piece 10 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.addeilqz/65818d0c499947586fc50074235479d504addc0a/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-10	2 Num i 03825 - 2 J 187 piece 10 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.addeilqz/381f8c40a3109f1e351b641cf276434c20c38d51/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-11	2 Num i 03827 - 2 J 187 piece 11 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.5a6cgfp2/7686b10a08926f1beee13a27eeba2e09a67407eb/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-11	2 Num i 03826 - 2 J 187 piece 11 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.5a6cgfp2/91a5290fcd56da66d3182946e15b3f3ae3673983/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-12	2 Num i 03860 - 2 J 187 piece 12 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.8a100zxl/0664d19f9accd5e0c9d852dd4a16c0813d6f3f22/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-12	2 Num i 03861 - 2 J 187 piece 12 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.8a100zxl/f08a95e1f6fc80734b8b911fde08a63ef864d5c3/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-13	2 Num i 03862 - 2 J 187 piece 13 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.e0fa9k1w/3a2aea7f372770eab1b29c95f7fcad00be1636e1/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-13	2 Num i 03864 - 2 J 187 piece 13 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.e0fa9k1w/f52916d29e3b6a4522bf70b931b61a6b2dc0ae5c/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-13	2 Num i 03863 - 2 J 187 piece 13 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.e0fa9k1w/914ebb5238ba17f638f0528cdf943d96b19bad02/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-14	2 Num i 03867 - 2 J 187 piece 14 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.87f8r442/e026f657a00f9962eff66135591646b92c377811/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-14	2 Num i 03865 - 2 J 187 piece 14 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.87f8r442/89073b3c7a2017c5f5ee96af986094d4d499a151/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-14	2 Num i 03866 - 2 J 187 piece 14 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.87f8r442/644ee5d8c1f7e4097d2e7f053f3d99c27a6953cb/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-15	2 Num i 03869 - 2 J 187 piece 15 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.bf33qn78/cdacdee13e53a196f7256be3408e6b005e52ab3f/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-15	2 Num i 03868 - 2 J 187 piece 15 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.bf33qn78/6da454e2dfac09d5a68e07b6d17e18912f0c8403/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-15	2 Num i 03871 - 2 J 187 piece 15 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.bf33qn78/4e3a97f89ffe5e190b80c31c10a8b11b99760f45/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-15	2 Num i 03870 - 2 J 187 piece 15 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.bf33qn78/253e708d1b6fd490381e7b971c634a4a5d444967/full/full/0/default.jpg
CAC_ED_nantes-labouchère-ms820-52	B441096101_ms820_52_001.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.3c0316s8/7ced266e6de33f8db6cac474bf84781410b78464/full/full/0/default.jpg
CAC_ED_nantes-labouchère-ms820-52	B441096101_ms820_52_002.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.3c0316s8/8acd8f24236cbd89cdd569a04b98d9e44f9756a6/full/full/0/default.jpg
CAC_ED_nantes-labouchère-ms820-52	B441096101_ms820_52_003.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.3c0316s8/8e148e14dbad139cdb6a92904428c8854a90b6e0/full/full/0/default.jpg
CAC_ED_amsterdam-bu-43bt1	OTM hs 43 Bt 1_001.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ce06a219/c5983c9fab3bf2904fddb2180e9296ab236ad218/full/full/0/default.jpg
CAC_ED_amsterdam-bu-43bt1	OTM hs 43 Bt 1_002.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ce06a219/ab47bbad6552ca5524be4be157a97740b9e55a17/full/full/0/default.jpg
CAC_ED_amsterdam-bu-43bt1	OTM hs 43 Bt 1_003.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ce06a219/1c8a8701c6c40aa63bc0d15ad2595a7d2eb9dec9/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-17	2 Num i 03876 - 2 J 187 piece 17 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d9c01j18/1496fa91496824c5d5bb0ced039775e5c87a0b67/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-17	2 Num i 03874 - 2 J 187 piece 17 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d9c01j18/faa8e645883e13bd4d69f9c6e5e5d3d241eee538/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-17	2 Num i 03875 - 2 J 187 piece 17 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d9c01j18/5f216585cbf3a8530d5648ce73d91f1064c07498/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-17	2 Num i 03877 - 2 J 187 piece 17 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d9c01j18/7a4a347197c3321775692a8349d6396c1c49c1e7/full/full/0/default.jpg
CAC_ED_inha-aut098-17-05-01	B751025206AU098-17-0951_01P.JPG	https://api.nakala.fr/iiif/10.34847%2Fnkl.9df12e17/9516f40ce126ef9bb39f76c417eefa807862e96e/full/full/0/default.jpg
CAC_ED_inha-aut098-17-05-01	B751025206AU098-17-0951_03P.JPG	https://api.nakala.fr/iiif/10.34847%2Fnkl.9df12e17/e7888cbd65851d6c8bef65ec4eef2f717319cb42/full/full/0/default.jpg
CAC_ED_inha-aut098-17-05-01	B751025206AU098-17-0951_02P.JPG	https://api.nakala.fr/iiif/10.34847%2Fnkl.9df12e17/a904de636dc849fbf62bf955ec3e290b388ee3e4/full/full/0/default.jpg
CAC_ED_auch-ad-1j-149	AD32_1J149_1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.03ab91d2/c637d355bd0869fdfb224f38b0438975d973bd84/full/full/0/default.jpg
CAC_ED_auch-ad-1j-149	AD32_1J149_2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.03ab91d2/26596ffb50ab0bed2adfd52bfa9151efd02c07fa/full/full/0/default.jpg
CAC_ED_inha-ms236-01	CAC_ED_inha-ms236-01_1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.52fc332r/389207dbb4f978aa17ba5a657ad40dd79ce51e28/full/full/0/default.jpg
CAC_ED_inha-ms236-01	CAC_ED_inha-ms236-01_2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.52fc332r/b1a12ce682146b4a51a0fa8d53b8132b777fb758/full/full/0/default.jpg
CAC_ED_inha-ms236-01	CAC_ED_inha-ms236-01_3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.52fc332r/3174fae52990870d49e14e01b9bc79711e5b817f/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-25	2 Num i 03898 - 2 J 187 piece 25 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.fc084569/635703e785f63b7a65230eb23e8d53a07db79839/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-25	2 Num i 03899 - 2 J 187 piece 25 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.fc084569/3092cbbce7c94bac71ff33c02895f1d93fb6e734/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-16	2 Num i 03872 - 2 J 187 piece 16 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.927c2nqr/7c04ab46440e528305bc57961a9c62938b2955b4/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-16	2 Num i 03873 - 2 J 187 piece 16 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.927c2nqr/1967a4fe36821ab6ed4042d53ea44e113688e3ae/full/full/0/default.jpg
